nome,cpf,idade,data,endereco,estado
felipe freis,657.***.***-57,18.0,2005-12-08,Endereço inválido,RR
lucas gabriel da luz,203.***.***-70,18.0,2005-12-13,Endereço inválido,DF
davi lucas da cos,502.***.***-52,18.0,2005-11-29,Endereço inválido,AL
bernardo santos,045.***.***-29,18.0,2005-09-09,Endereço inválido,PR
davi cardoso,065.***.***-90,18.0,2005-07-25,Endereço inválido,PA
 yasmin melo,510.***.***-49,18.0,2005-07-22,Endereço inválido,TO
sofia duarte,412.***.***-28,18.0,2005-07-09,Endereço inválido,RR
cauê cardoso,019.***.***-60,18.0,2005-08-09,Endereço inválido,AL
 enzo gabriel fernandes,769.***.***-21,18.0,2005-08-24,Endereço inválido,RR
rebeca da rosa,640.***.***-22,11.0,2013-01-01,Endereço inválido,SC
henrique monteiro,378.***.***-73,6.0,2018-03-09,Endereço inválido,SP
luigi da rosa,316.***.***-87,5.0,2018-08-23,Endereço inválido,MG
melissa dias,170.***.***-05,10.0,2014-02-21,Endereço inválido,PI
igor ramos,695.***.***-77,6.0,2017-06-29,Endereço inválido,AC
alice cardoso,123.***.***-09,4.0,2019-10-14,Endereço inválido,PR
breno freis,205.***.***-41,16.0,2008-03-03,Endereço inválido,PA
ana lívia da paz,347.***.***-69,18.0,2006-09-01,Endereço inválido,RJ
 daniel cavalcanti,609.***.***-33,6.0,2018-01-09,Endereço inválido,GO
 peo cavalcanti,863.***.***-84,1.0,2022-12-20,Endereço inválido,BA
